segment_id,date,dow,day_type,period,time_slot,LOS,n,s_node_id,e_node_id,length,street_id,max_velocity,street_level,street_name,street_type,long_snode,lat_snode,long_enode,lat_enode,hour,minute,year_month,is_holiday
73586,2021-03-16,1,weekday,period_6_00,12,F,1,2493364035,3641835214,92,604808832,40.0,2,Phạm Văn Đồng,primary,106.6888226,10.8191573,106.6880374,10.818853,6,0,2021-03,False
73587,2021-03-11,3,weekday,period_7_00,14,A,1,3641835214,2493364038,109,604808832,40.0,2,Phạm Văn Đồng,primary,106.6880374,10.818853,106.6871226,10.8184574,7,0,2021-03,False
73587,2021-03-31,2,weekday,period_0_30,1,A,1,3641835214,2493364038,109,604808832,40.0,2,Phạm Văn Đồng,primary,106.6880374,10.818853,106.6871226,10.8184574,0,30,2021-03,False
73587,2021-04-14,2,weekday,period_0_30,1,B,1,3641835214,2493364038,109,604808832,40.0,2,Phạm Văn Đồng,primary,106.6880374,10.818853,106.6871226,10.8184574,0,30,2021-04,False
73588,2021-03-11,3,weekday,period_12_00,24,A,1,2493364038,5738008453,84,604808832,40.0,2,Phạm Văn Đồng,primary,106.6871226,10.8184574,106.686438,10.8181117,12,0,2021-03,False
73588,2021-03-23,1,weekday,period_10_00,20,A,1,2493364038,5738008453,84,604808832,40.0,2,Phạm Văn Đồng,primary,106.6871226,10.8184574,106.686438,10.8181117,10,0,2021-03,False
73588,2021-04-14,2,weekday,period_0_30,1,B,1,2493364038,5738008453,84,604808832,40.0,2,Phạm Văn Đồng,primary,106.6871226,10.8184574,106.686438,10.8181117,0,30,2021-04,False
73589,2021-03-09,1,weekday,period_10_00,20,F,6,5738008453,5738008452,31,604808832,40.0,2,Phạm Văn Đồng,primary,106.686438,10.8181117,106.6861819,10.8179812,10,0,2021-03,False
73589,2021-03-11,3,weekday,period_12_00,24,A,1,5738008453,5738008452,31,604808832,40.0,2,Phạm Văn Đồng,primary,106.686438,10.8181117,106.6861819,10.8179812,12,0,2021-03,False
73589,2021-04-14,2,weekday,period_0_30,1,B,1,5738008453,5738008452,31,604808832,40.0,2,Phạm Văn Đồng,primary,106.686438,10.8181117,106.6861819,10.8179812,0,30,2021-04,False
73590,2021-03-09,1,weekday,period_10_00,20,F,1,5738008457,5738008456,33,604808839,40.0,2,Phạm Văn Đồng,primary,106.6857246,10.8175676,106.685997,10.8177146,10,0,2021-03,False
73592,2021-03-16,1,weekday,period_6_00,12,D,1,5738008450,4067989696,5,604808849,50.0,3,Phạm Văn Đồng,secondary,106.6859367,10.8175802,106.685981,10.8175986,6,0,2021-03,False
73593,2021-03-11,3,weekday,period_7_00,14,A,1,4067989696,4067989697,48,604808849,50.0,3,Phạm Văn Đồng,secondary,106.685981,10.8175986,106.6863783,10.8177991,7,0,2021-03,False
73594,2021-03-16,1,weekday,period_6_00,12,A,1,4067989697,5782013164,10,604808849,50.0,3,Phạm Văn Đồng,secondary,106.6863783,10.8177991,106.686461,10.8178387,6,0,2021-03,False
73598,2021-03-11,3,weekday,period_7_00,14,A,1,4067989699,5782013196,32,604808849,50.0,3,Phạm Văn Đồng,secondary,106.6869815,10.8180913,106.6872555,10.8182081,7,0,2021-03,False
73600,2021-03-16,1,weekday,period_6_00,12,A,1,3194982190,5721506169,18,604808849,50.0,3,Phạm Văn Đồng,secondary,106.6875357,10.8183275,106.6876918,10.8183966,6,0,2021-03,False
73768,2021-03-11,3,weekday,period_7_00,14,A,1,5738082288,4067993889,51,604878205,50.0,3,Phạm Văn Đồng,secondary,106.6997329,10.8218131,106.7001824,10.8219472,7,0,2021-03,False
73769,2021-03-16,1,weekday,period_6_00,12,A,1,4067993889,5742463957,67,604878205,50.0,3,Phạm Văn Đồng,secondary,106.7001824,10.8219472,106.7007746,10.82211,6,0,2021-03,False
73772,2021-03-11,3,weekday,period_7_00,14,A,1,5738640356,3194982193,21,604878205,50.0,3,Phạm Văn Đồng,secondary,106.7012035,10.8222176,106.7013915,10.8222709,7,0,2021-03,False
73774,2021-03-16,1,weekday,period_6_00,12,A,1,4067993891,3194982191,26,604878205,50.0,3,Phạm Văn Đồng,secondary,106.7015591,10.8223226,106.7017981,10.8223781,6,0,2021-03,False
73777,2021-03-11,3,weekday,period_7_00,14,B,1,4067993893,4067993894,39,604878205,50.0,3,Phạm Văn Đồng,secondary,106.7027253,10.8226268,106.7030774,10.8227137,7,0,2021-03,False
73778,2021-03-16,1,weekday,period_6_00,12,B,1,4067993894,4067989170,22,604878205,50.0,3,Phạm Văn Đồng,secondary,106.7030774,10.8227137,106.703275,10.822775,6,0,2021-03,False
